cCiType;cCiSubType;cFKpurpose;cFKoperationSrv;cFKITSystemGK;cVendor;cModelName;SerialNo;cFKPartNumber;cFKidnumber;cFKInventoryNumber;cFKunit;iFKfloor;cFKroom;cCupboard;cLocation;dept;cMaterial;admin;cStatus;cArea;cGroup;cGarSupplier;cContractSuppName;cNameByContractSupp;dGarSupTerm;dGarDevTerm;cGarYear;cPostGatContr;cContractGuaranteeName;dPostGarContrUp1;cContractModernName;dModYearUpg1;cModContrUpg1;cContractModern2Name;dModYearUpg2;cModContrUpg2;lCPUSpeedMHz;lCPUNumber;lNumCorePerCPU;Activated;RAMVolumeFK;ram.slots.amount;ram.slots.used.amount;hdType1;hdQuantity1;hdVolume1;hdType2;hdQuantity2;hdVolume2;hdType3;hdQuantity3;hdVolume3;hdFreeSlots;IFKPower;CopperAll;CopperUsed;OpticAll;OptecUsed;cFKsobol;TcpIpHostName;TcpIpAddress;TcpIpMaskFK;TcpIpGateway;PhysicalAddress;FKctrlHost;FKctrlIP;FKctrlMask;FKctrlDomain;FKctrlMAC;cFKtofk;cUser;bUseCupboard;cCity;iLoadNum;cParentModelName;cAdmin;cStore;cNatureName
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220055;;9900-01-001604 СУЭ;;;1;Маш. зал 2;9907(2RF20.01);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK037;10.140.229.178;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;020822003D ;;9900-01-001605 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK038;10.140.229.179;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;020822003F ;;9900-01-001606 СУЭ;;;1;Маш. зал 2;9907(2RF20.03);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK039;10.140.229.180;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220040;;9900-01-001607 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK045;10.140.229.186;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220058;;9900-01-001608 СУЭ;;;1;Маш. зал 2;9907(2RF20.03);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK046;10.140.229.187;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220059;;9900-01-001609 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK096;10.140.229.237;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;020822004C ;;9900-01-001610 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK097;10.140.229.238;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;020822004D ;;9900-01-001611 СУЭ;;;1;Маш. зал 2;9907(2RF20.03);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK098;10.140.229.239;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;020822003E ;;9900-01-001612 СУЭ;;;1;Маш. зал 2;9907(2RF20.03);г Городец, ул Речников, д14;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK099;10.140.229.240;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
Серверное оборудование;Сервер x86;;;ЕОИ;Yadro;Yadro VEGMAN R120;208220056;;9900-01-001613 СУЭ;;;1;Маш. зал 2;9507(2RF08.07);г. Дубна, ул. Технологическая, д. 2;ЦОКР;;;Используется;КК;;;ФКУ0091/03/2022/ЭЦИ;Сервер ЕОИ № 1 Тип 2;05.09.2027;05.09.2027;2022;;;;;;;;;;2200;2;48;1;262144;24;8;SATA;4;480;NVME;8;7680;;;;0;685;4;1;2;2;;;;;;;GRD-KK-RACK103;10.140.229.244;255.255.252.0;10.140.231.254;;99;0;1;;999;Сервер х86;Куратор не присвоен;0;Computer
